ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
22,1028121,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,特栽米,―,秋田県大潟村,あきたこまち,2,https://www.dropbox.com/scl/fi/xv4exzsnpnxtynwln0hti/1028121A.jpg?rlkey=4z9rl7qe1j8w8u21j8yiinxea&st=o2ic8374&dl=0,
23,1087918,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,特栽米,―,秋田県大潟村,あきたこまち,2,https://www.dropbox.com/scl/fi/zjnfzt9wcpbkycgvm8bnd/1087918A.jpg?rlkey=nvyt2kk4yikjirdrjv3iwp20d&st=zvpiogdq&dl=0,
24,1028119,565,小袋大,【食味王】,―,―,―,ガイドライン,スポット中心,特栽米,―,秋田県大潟村,あきたこまち,ー,https://www.dropbox.com/scl/fi/i1igy7cd0x4latpynet92/1028119A.jpg?rlkey=irxi8r6k5geinvg9vxg5cgbrh&st=7oh6rguf&dl=0,
25,1110086,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,石川県,ひゃくまん穀,2,https://www.dropbox.com/scl/fi/ouy83xsamukcb7ekhi24n/1110086A.jpg?rlkey=190qh041cpojetbyihdz5s31b&st=ks5wzwnv&dl=0,
26,1036937,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,棚田米,―,石川県能登,コシヒカリ,1,https://www.dropbox.com/scl/fi/6cd21xfr0y1cvnfm26w6x/1036937A.jpg?rlkey=3jqirpbbaexee8jsyhmgi3l4k&st=3b1wbhgb&dl=0,
27,1088271,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,棚田米,―,石川県能登,コシヒカリ,2,https://www.dropbox.com/scl/fi/cgsqn4m86wjai6pu5is7p/1088271A.jpg?rlkey=6wmngtg0i2upk7m73ertz9hak&st=xnmapojs&dl=0,
28,1225613,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,棚田米,脱酸素剤,石川県能登,コシヒカリ,2,https://www.dropbox.com/scl/fi/f0z5lmcsmue7cv9a8jzz0/1225613A.jpg?rlkey=86mqtned1bf9wgpsvgxdb9ym6&st=jo85k1fp&dl=0,
29,1251123,594,小袋中,【食味王】,―,―,表示,デザイン,,―,―,石川県奥能登,コシヒカリ,1,https://www.dropbox.com/scl/fi/2e6o0aaunaj4lenee6379/1251123A.jpg?rlkey=hcif681c58hlc4npdubwknfx0&st=jw6q2r87&dl=0,
30,1240125,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,石川県奥能登,コシヒカリ,2,https://www.dropbox.com/scl/fi/8gq90eyc1smwauacktpet/1240125A.jpg?rlkey=382hy7u2oweder7qcsvjdpc0x&st=pujcuzm2&dl=0,
31,1250469,565,小袋大,【食味王】,―,―,表示,デザイン,,―,―,石川県奥能登,コシヒカリ,5,https://www.dropbox.com/scl/fi/oe0dj2vkc40z68mn4d51a/1250469A.jpg?rlkey=fehumidin94q95newcwdt1tni&st=ht5yfbdz&dl=0,
32,1096305,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,岩手県,銀河のしずく,1,https://www.dropbox.com/scl/fi/vjaoykfr93xaj13ysz2uv/1096305A.jpg?rlkey=8ysk0e8950pd80jp3h94uupm7&st=4qw0dxhz&dl=0,
33,1110850,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,岩手県,銀河のしずく,2,https://www.dropbox.com/scl/fi/oy411ihj35a1qlkijjpio/1110850A.jpg?rlkey=wnmz44wqmxeukwin06h7w0hri&st=fxm32q1c&dl=0,
34,1087583,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,岩手県,銀河のしずく,2,https://www.dropbox.com/scl/fi/sfreqio9fols1enl20ly6/1087583A.jpg?rlkey=wqwrhvsljq5cpjbfqpzrwjp5r&st=twsvbin2&dl=0,
35,1183948,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,岩手県,銀河のしずく,2,https://www.dropbox.com/scl/fi/ak8j68tzu1nciloc9nkiq/1183948A.jpg?rlkey=9friw2lxs4w2w7s5dmbodovo9&st=lstqo0se&dl=0,
36,1164044,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,岩手県,金色の風,2,https://www.dropbox.com/scl/fi/kq162dhgnv99eg5fbek83/1164044A.jpg?rlkey=ek8319ns3i4ylsgodon8r7c4k&st=ht56h7hz&dl=0,
